pendidikan;penganguran;tahun;nama_provinsi;kode_provinsi
SARJANA;174411;2018;JAWA BARAT;32
SARJANA;188173;2019;JAWA BARAT;32
SARJANA;490915;2020;JAWA BARAT;32
SARJANA;204199;2021;JAWA BARAT;32
SARJANA;166033;2022;JAWA BARAT;32
SD;311668;2018;JAWA BARAT;32
SD;288692;2019;JAWA BARAT;32
SD;1272366;2020;JAWA BARAT;32
SD;553308;2021;JAWA BARAT;32
SD;448542;2022;JAWA BARAT;32
SMA;960145;2018;JAWA BARAT;32
SMA;965975;2019;JAWA BARAT;32
SMA;1005268;2020;JAWA BARAT;32
SMA;572088;2021;JAWA BARAT;32
SMA;567740;2022;JAWA BARAT;32
SMK;1014084;2020;JAWA BARAT;32
SMK;679710;2021;JAWA BARAT;32
SMK;572871;2022;JAWA BARAT;32
SMP;334263;2018;JAWA BARAT;32
SMP;354862;2019;JAWA BARAT;32
SMP;899846;2020;JAWA BARAT;32
SMP;420842;2021;JAWA BARAT;32
SMP;370420;2022;JAWA BARAT;32
TIDAK SEKOLAH;67747;2018;JAWA BARAT;32
TIDAK SEKOLAH;103796;2019;JAWA BARAT;32
TIDAK SEKOLAH;322521;2020;JAWA BARAT;32
